,Store_Number,County,Sale_total_month
212,3587,Lee,486.96
213,3591,Webster,1583.75
214,3592,Hardin,11605.5
215,3606,Grundy,2429.22
216,3611,Harrison,1489.8
217,3612,Jackson,14883.53
218,3618,Linn,10614.54
219,3621,O'Brien,6139.25
220,3622,Dickinson,7796.4
221,3624,Jasper,3028.44
222,3625,Polk,11230.26
223,3626,Clay,6007.02
224,3628,Linn,7352.28
225,3629,Pottawattamie,10636.44
226,3632,Dubuque,10153.38
227,3635,Boone,1278.79
228,3644,Polk,11125.8
229,3645,Polk,7353.36
230,3647,Clinton,7793.4
231,3648,Buchanan,778.83
232,3650,Ida,5954.38
233,3651,Warren,3612.18
234,3652,Ida,1901.44
235,3654,Wright,2394.38
236,3655,Woodbury,382.68
237,3656,Polk,3817.62
238,3660,Marion,1842.96
239,3663,Black Hawk,9899.04
240,3664,Worth,3034.0
241,3666,Linn,7310.7
242,3670,Johnson,12091.32
243,3676,Butler,658.53
244,3677,Clay,67.5
245,3678,Polk,3751.66
246,3679,Clayton,2830.94
247,3682,Kossuth,4482.76
248,3688,Chickasaw,1338.84
249,3690,Black Hawk,3362.38
250,3691,Polk,2793.54
251,3695,Plymouth,2431.38
252,3696,Polk,3008.58
253,3698,Polk,2257.9
254,3700,Pottawattamie,4780.2
255,3704,Palo Alto,8299.14
256,3705,Lyon,6066.01
257,3707,Linn,4543.14
258,3710,Louisa,1858.8
259,3712,Poweshiek,1981.88
260,3713,Cerro Gordo,7752.24
261,3715,Scott,4853.8
262,3717,Bremer,2510.46
263,3719,Marshall,4581.78
264,3721,Winneshiek,10792.92
265,3722,Woodbury,9604.62
266,3723,Monona,6404.17
267,3726,Wapello,6666.36
268,3728,Pottawattamie,10666.58
269,3731,Scott,10577.22
270,3732,Scott,5548.3
271,3735,Buchanan,4686.4
272,3738,Dubuque,2629.64
273,3740,Black Hawk,5929.62
274,3742,Plymouth,3741.12
275,3744,Dubuque,5593.86
276,3747,Keokuk,2898.41
277,3749,Buena Vista,3956.28
278,3756,Carroll,1489.54
279,3757,Woodbury,13975.02
280,3762,Polk,7304.9
281,3763,Sioux,2825.2
282,3766,Chickasaw,130.81
283,3769,Black Hawk,10626.06
284,3772,Polk,10185.88
285,3773,Linn,66202.79
286,3774,Dubuque,2665.62
287,3776,Scott,9287.52
288,3778,Polk,2863.85
289,3779,Webster,1676.12
290,3782,Clayton,2112.26
291,3783,Pocahontas,4561.96
292,3784,Buchanan,4816.36
293,3785,Polk,2989.03
294,3789,Mahaska,3536.22
295,3790,Henry,4619.7
296,3803,Clayton,1533.66
297,3805,Scott,9393.84
298,3806,Polk,6479.1
299,3808,Black Hawk,3191.1
300,3811,Lee,4353.46
301,3813,Ringgold,1532.34
302,3814,Dallas,63118.98
303,3816,Montgomery,2319.13
304,3818,Marion,4371.32
305,3819,Winneshiek,7703.96
306,3820,Woodbury,41398.82
307,3822,Johnson,1252.13
308,3825,Polk,4339.24
309,3826,Clarke,943.32
310,3829,Linn,5071.3
311,3830,Union,5499.96
312,3831,Boone,1514.25
313,3833,Cass,4377.24
314,3838,Iowa,10676.48
315,3841,Dubuque,803.48
316,3842,Kossuth,6864.75
317,3845,Webster,102.06
318,3849,Dubuque,3624.31
319,3853,Scott,2476.62
320,3855,Buena Vista,1319.05
321,3857,Allamakee,7069.83
322,3858,Scott,4772.75
323,3859,Buchanan,4498.38
324,3866,Story,3110.42
325,3868,Linn,11568.66
326,3869,Johnson,10155.24
327,3870,Polk,1444.26
328,3871,Polk,2881.2
329,3872,Dubuque,2028.12
330,3873,Johnson,2136.12
331,3876,Calhoun,1611.86
332,3877,Polk,1568.36
333,3879,Woodbury,1838.82
334,3880,Pottawattamie,1909.46
335,3881,Marshall,11918.88
336,3882,Scott,1136.42
337,3886,Jones,6639.48
338,3888,Poweshiek,2419.98
339,3889,Bremer,5879.7
340,3890,Linn,3366.09
341,3891,Palo Alto,1474.05
342,3894,Linn,2272.53
343,3896,Johnson,3576.07
344,3899,Polk,11355.66
345,3901,Webster,2209.08
346,3907,Muscatine,1450.37
347,3908,Lee,1295.76
348,3909,Marion,3111.35
349,3910,Washington,3612.18
350,3912,Linn,2860.99
351,3916,Wapello,1475.69
352,3917,Scott,4070.1
353,3918,Scott,1625.31
354,3920,Clinton,3170.04
355,3926,Johnson,20558.16
356,3928,Johnson,4318.28
357,3930,Fayette,2958.66
358,3932,Monona,6179.33
359,3934,Jackson,5223.12
