,Unnamed: 0,Company_name,Location,Salary,Title,Experience,City,State
59,1,    DataLab USA,"Germantown, MD 20876",75000.0,Data_Scientist,Mid_level,Germantown,MD 20876
60,2,    All Things Considered Staffing (ATC-S),"Washington, DC",75000.0,Data_Scientist,Mid_level,Washington,DC
61,3,    Excella Consulting,"Washington, DC 20006 (Foggy Bottom area)",75000.0,Data_Scientist,Mid_level,Washington,DC 20006 (Foggy Bottom area)
62,4,        Booz Allen Hamilton,"Washington, DC",75000.0,Data_Scientist,Mid_level,Washington,DC
63,5,    xometry,"Bethesda, MD",75000.0,Data_Scientist,Mid_level,Bethesda,MD
64,6,        Verizon,"Silver Spring, MD 20904",75000.0,Data_Scientist,Mid_level,Silver Spring,MD 20904
65,7,        Barbaricum,"Washington, DC",75000.0,Data_Scientist,Mid_level,Washington,DC
66,8,        Deutsche Bank,"Washington, DC",75000.0,Data_Scientist,Mid_level,Washington,DC
67,9,        Applied Information Sciences,"Washington, DC",75000.0,Data_Scientist,Mid_level,Washington,DC
68,10,        CACI,"Charlottesville, VA 22909 (North East area)",75000.0,Data_Scientist,Mid_level,Charlottesville,VA 22909 (North East area)
69,11,        Agilent,"Wilmington, DE",75000.0,Data_Scientist,Mid_level,Wilmington,DE
70,12,    Oscar Technology,"Baltimore, MD",75000.0,Data_Scientist,Mid_level,Baltimore,MD
71,13,        University of Maryland Medical System,"Linthicum Heights, MD 21090",75000.0,Data_Scientist,Mid_level,Linthicum Heights,MD 21090
72,14,        Centra Technology,"Arlington, VA",75000.0,Data_Scientist,Mid_level,Arlington,VA
73,15,    Novetta,"Crystal City, VA",75000.0,Data_Scientist,Mid_level,Crystal City,VA
74,16,        ASRC Federal,"Alexandria, VA",75000.0,Data_Scientist,Mid_level,Alexandria,VA
75,17,    DataRobot,"Washington, DC",75000.0,Data_Scientist,Mid_level,Washington,DC
76,18,        Vencore,"McLean, VA",75000.0,Data_Scientist,Mid_level,McLean,VA
77,19,        The Johns Hopkins Applied Physics Laboratory,"Laurel, MD",75000.0,Data_Scientist,Mid_level,Laurel,MD
78,20,    QxBranch,"Washington, DC",75000.0,Data_Scientist,Mid_level,Washington,DC
79,21,        KPMG,"Washington, DC 20036 (Downtown area)",75000.0,Data_Scientist,Mid_level,Washington,DC 20036 (Downtown area)
80,22,    Novetta,"Springfield, VA",75000.0,Data_Scientist,Mid_level,Springfield,VA
81,23,        Information Innovators Inc.,"Alexandria, VA",75000.0,Data_Scientist,Mid_level,Alexandria,VA
82,24,        CAVA,"Washington, DC 20009 (U Street Corridor area)",75000.0,Data_Scientist,Mid_level,Washington,DC 20009 (U Street Corridor area)
83,25,    Applied Communication Sciences,"Washington, DC",75000.0,Data_Scientist,Mid_level,Washington,DC
84,26,        American Society of Clinical Oncology,"Alexandria, VA",75000.0,Data_Scientist,Mid_level,Alexandria,VA
